model,model_display,n_shots,seed,condition,auroc
ep_prior_full,EP-Prior (Full),10,0,NORM,0.762290581474054
ep_prior_full,EP-Prior (Full),10,0,MI,0.6236827007943514
ep_prior_full,EP-Prior (Full),10,0,STTC,0.7376656285730964
ep_prior_full,EP-Prior (Full),10,0,CD,0.5318008225616921
ep_prior_full,EP-Prior (Full),10,0,HYP,0.6334754116459529
ep_prior_full,EP-Prior (Full),10,1,NORM,0.7621678207020065
ep_prior_full,EP-Prior (Full),10,1,MI,0.658356134157105
ep_prior_full,EP-Prior (Full),10,1,STTC,0.8161670197558248
ep_prior_full,EP-Prior (Full),10,1,CD,0.7408575300405593
ep_prior_full,EP-Prior (Full),10,1,HYP,0.6274742129834079
ep_prior_full,EP-Prior (Full),10,2,NORM,0.8639802237441194
ep_prior_full,EP-Prior (Full),10,2,MI,0.5338261253309797
ep_prior_full,EP-Prior (Full),10,2,STTC,0.864087570689365
ep_prior_full,EP-Prior (Full),10,2,CD,0.7484482203100716
ep_prior_full,EP-Prior (Full),10,2,HYP,0.585562425083591
ep_prior_full,EP-Prior (Full),50,0,NORM,0.8720387116845552
ep_prior_full,EP-Prior (Full),50,0,MI,0.7469020300088262
ep_prior_full,EP-Prior (Full),50,0,STTC,0.8383195016235234
ep_prior_full,EP-Prior (Full),50,0,CD,0.7145246578977296
ep_prior_full,EP-Prior (Full),50,0,HYP,0.7180501230206296
ep_prior_full,EP-Prior (Full),50,1,NORM,0.8749530187798757
ep_prior_full,EP-Prior (Full),50,1,MI,0.7594627096204766
ep_prior_full,EP-Prior (Full),50,1,STTC,0.859137455262974
ep_prior_full,EP-Prior (Full),50,1,CD,0.7601161821007543
ep_prior_full,EP-Prior (Full),50,1,HYP,0.7499369124976342
ep_prior_full,EP-Prior (Full),50,2,NORM,0.881650207474113
ep_prior_full,EP-Prior (Full),50,2,MI,0.706504854368932
ep_prior_full,EP-Prior (Full),50,2,STTC,0.867314015865549
ep_prior_full,EP-Prior (Full),50,2,CD,0.7707547572116296
ep_prior_full,EP-Prior (Full),50,2,HYP,0.7373746135890479
ep_prior_full,EP-Prior (Full),100,0,NORM,0.8851345954149692
ep_prior_full,EP-Prior (Full),100,0,MI,0.7601015004413062
ep_prior_full,EP-Prior (Full),100,0,STTC,0.8691521396516261
ep_prior_full,EP-Prior (Full),100,0,CD,0.7469379003828512
ep_prior_full,EP-Prior (Full),100,0,HYP,0.746248265093685
ep_prior_full,EP-Prior (Full),100,1,NORM,0.8899777601204065
ep_prior_full,EP-Prior (Full),100,1,MI,0.770654236540159
ep_prior_full,EP-Prior (Full),100,1,STTC,0.8648727219454354
ep_prior_full,EP-Prior (Full),100,1,CD,0.7725837250293771
ep_prior_full,EP-Prior (Full),100,1,HYP,0.7606440445397767
ep_prior_full,EP-Prior (Full),100,2,NORM,0.86272739120747
ep_prior_full,EP-Prior (Full),100,2,MI,0.7486154015887025
ep_prior_full,EP-Prior (Full),100,2,STTC,0.8613990571317715
ep_prior_full,EP-Prior (Full),100,2,CD,0.7784496891702362
ep_prior_full,EP-Prior (Full),100,2,HYP,0.7592758343322189
ep_prior_full,EP-Prior (Full),500,0,NORM,0.89777811410866
ep_prior_full,EP-Prior (Full),500,0,MI,0.780989629302736
ep_prior_full,EP-Prior (Full),500,0,STTC,0.8898831086038156
ep_prior_full,EP-Prior (Full),500,0,CD,0.7877662901330503
ep_prior_full,EP-Prior (Full),500,0,HYP,0.7671460002523499
ep_prior_full,EP-Prior (Full),500,1,NORM,0.900737825873094
ep_prior_full,EP-Prior (Full),500,1,MI,0.7845895851721094
ep_prior_full,EP-Prior (Full),500,1,STTC,0.8843401238616165
