shot_size,seed,embedding,auroc_macro,auprc_macro,n_train
10,0,concat,0.6774662392202841,0.39302418129681843,50
10,1,concat,0.6955794594722028,0.42131308602611395,50
10,2,concat,0.6866836373584747,0.41460644528561347,50
50,0,concat,0.7652847959646139,0.49272698914058655,250
50,1,concat,0.7721276497131718,0.5042228759624143,250
50,2,concat,0.7602258231282653,0.48752257896798107,250
100,0,concat,0.7939398949197237,0.5298551622587501,500
100,1,concat,0.7940316823240644,0.5304580051058266,500
100,2,concat,0.7910034827817612,0.5246531735806411,500
500,0,concat,0.8094180967472877,0.5566841646708378,2500
500,1,concat,0.8112018463987439,0.5605539694254507,2500
500,2,concat,0.8118534197566781,0.5637856280743706,2500
