shot_size,seed,embedding,auroc_macro,auprc_macro,n_train
10,0,concat,0.7410841242703576,0.4880596691972359,50
10,1,concat,0.7324199065194353,0.49013884754940074,50
10,2,concat,0.7114368823051437,0.4537361472049157,50
50,0,concat,0.8030513707660738,0.5611619723525182,250
50,1,concat,0.8052721308933567,0.5586054330740824,250
50,2,concat,0.7947568243090599,0.5509976656736081,250
100,0,concat,0.8161331779786843,0.5819388636759959,500
100,1,concat,0.8122914998777654,0.5735317046802273,500
100,2,concat,0.8110234088730157,0.5697621544617697,500
500,0,concat,0.8279877152953633,0.5982875435151949,2500
500,1,concat,0.8253683998992182,0.5982564299105052,2500
500,2,concat,0.8259597571710939,0.5987968205753444,2500
