shot_size,seed,embedding,auroc_macro,auprc_macro,n_train
10,0,concat,0.7348105501408884,0.48000074876544324,50
10,1,concat,0.7260819993426066,0.48172363230741455,50
10,2,concat,0.7086213273930839,0.45335310040062093,50
50,0,concat,0.8028916759767528,0.5594052890226486,250
50,1,concat,0.8089305030082541,0.5626909842753023,250
50,2,concat,0.7941058982780881,0.5531952927767747,250
100,0,concat,0.8166950255642018,0.5818675676461127,500
100,1,concat,0.8119701117150875,0.5723439364317714,500
100,2,concat,0.8145633303536195,0.5732108934864683,500
500,0,concat,0.8273935268378565,0.5974813347003031,2500
500,1,concat,0.8251653427329385,0.5981482825073468,2500
500,2,concat,0.8259453128996354,0.5980778881531741,2500
