shot_size,seed,embedding,auroc_macro,auprc_macro,n_train
10,0,concat,0.6752740353445328,0.3933125093796525,50
10,1,concat,0.6919752584495891,0.4183485975257291,50
10,2,concat,0.6796480410297308,0.4084509048347392,50
50,0,concat,0.7630591211408432,0.4929526822338855,250
50,1,concat,0.7706958048495673,0.5012379344896309,250
50,2,concat,0.7604633961442071,0.48552754781214374,250
100,0,concat,0.7943498662337519,0.5310144038845592,500
100,1,concat,0.7936627361521171,0.5286868359477955,500
100,2,concat,0.7912236053351634,0.5246879507288603,500
500,0,concat,0.8090427094273153,0.5563319856854865,2500
500,1,concat,0.8114606920839919,0.5601244442855668,2500
500,2,concat,0.8119779389094226,0.5631911134180794,2500
